scenario_id,civilization_type,population_level,environment,round,population,tech_level,stability,happiness,env_degradation,conflict_count
S002,掠夺文明,小型部落,普通位面,451,1907.6,71.3235,0.0282,0.4076,1.0,286
S002,掠夺文明,小型部落,普通位面,461,1774.95,90.1616,0.0,0.4029,1.0,295
S002,掠夺文明,小型部落,普通位面,471,1847.44,115.9869,0.0071,0.4029,1.0,302
S002,掠夺文明,小型部落,普通位面,481,1567.99,155.0432,0.0,0.4005,1.0,311
S002,掠夺文明,小型部落,普通位面,491,1615.13,215.6007,0.0,0.4048,1.0,314
S003,掠夺文明,小型部落,富饶位面,1,10.41,1.0023,0.6703,0.5308,0.0,0
S003,掠夺文明,小型部落,富饶位面,11,14.93,1.0322,0.6806,0.9038,0.0,0
S003,掠夺文明,小型部落,富饶位面,21,21.58,1.0774,0.7274,0.9175,0.0,0
S003,掠夺文明,小型部落,富饶位面,31,31.15,1.1377,0.6506,0.8968,0.0,0
S003,掠夺文明,小型部落,富饶位面,41,44.65,1.211,0.6091,0.8892,0.0,0
S003,掠夺文明,小型部落,富饶位面,51,63.85,1.297,0.6282,0.8874,0.0,0
S003,掠夺文明,小型部落,富饶位面,61,90.62,1.3984,0.6426,0.8917,0.0,0
S003,掠夺文明,小型部落,富饶位面,71,128.33,1.5147,0.5749,0.8752,0.0,0
S003,掠夺文明,小型部落,富饶位面,81,174.92,1.6421,0.5218,0.8554,0.0,0
S003,掠夺文明,小型部落,富饶位面,91,243.17,1.7881,0.5113,0.8524,0.0,0
S003,掠夺文明,小型部落,富饶位面,101,332.92,1.9483,0.3878,0.8156,0.0,1
S003,掠夺文明,小型部落,富饶位面,111,443.92,2.121,0.3931,0.8168,0.0,3
S003,掠夺文明,小型部落,富饶位面,121,591.22,2.3169,0.4216,0.8265,0.0,5
S003,掠夺文明,小型部落,富饶位面,131,801.68,2.535,0.395,0.8177,0.0,5
S003,掠夺文明,小型部落,富饶位面,141,1090.43,2.7707,0.3531,0.8047,0.0,6
S003,掠夺文明,小型部落,富饶位面,151,1420.18,3.0309,0.3227,0.7969,0.0,10
S003,掠夺文明,小型部落,富饶位面,161,1905.69,3.3209,0.2717,0.7888,0.0,11
S003,掠夺文明,小型部落,富饶位面,171,2534.62,3.6374,0.2491,0.7806,0.0,14
S003,掠夺文明,小型部落,富饶位面,181,3214.56,3.9881,0.3146,0.794,0.0149,22
S003,掠夺文明,小型部落,富饶位面,191,4157.59,4.377,0.2538,0.7447,0.1234,25
S003,掠夺文明,小型部落,富饶位面,201,5392.23,4.803,0.164,0.6534,0.3883,27
S003,掠夺文明,小型部落,富饶位面,211,6245.78,5.261,0.0905,0.4867,0.8826,33
S003,掠夺文明,小型部落,富饶位面,221,6793.74,5.7859,0.1116,0.4325,1.0,40
S003,掠夺文明,小型部落,富饶位面,231,6619.88,6.3835,0.0,0.4023,1.0,46
S003,掠夺文明,小型部落,富饶位面,241,6831.69,7.0838,0.0402,0.4111,1.0,52
S003,掠夺文明,小型部落,富饶位面,251,7258.13,7.8693,0.0284,0.4079,1.0,60
S003,掠夺文明,小型部落,富饶位面,261,8019.13,8.7535,0.101,0.4293,1.0,66
S003,掠夺文明,小型部落,富饶位面,271,8748.25,9.7557,0.1481,0.4435,1.0,72
S003,掠夺文明,小型部落,富饶位面,281,9517.29,10.8851,0.0783,0.4226,1.0,79
S003,掠夺文明,小型部落,富饶位面,291,10633.57,12.1643,0.0705,0.4202,1.0,84
S003,掠夺文明,小型部落,富饶位面,301,9550.76,13.6698,0.007,0.4018,1.0,92
S003,掠夺文明,小型部落,富饶位面,311,8907.73,15.5618,0.0211,0.4055,1.0,99
S003,掠夺文明,小型部落,富饶位面,321,8299.3,17.8713,0.0071,0.4025,1.0,106
S003,掠夺文明,小型部落,富饶位面,331,8271.11,20.628,0.0496,0.414,1.0,111
S003,掠夺文明,小型部落,富饶位面,341,8988.59,23.8182,0.087,0.4284,1.0,118
S003,掠夺文明,小型部落,富饶位面,351,9392.43,27.507,0.0679,0.4194,1.0,127
S003,掠夺文明,小型部落,富饶位面,361,10333.43,31.8932,0.1066,0.431,1.0,133
S003,掠夺文明,小型部落,富饶位面,371,11480.52,37.2642,0.1397,0.4413,1.0,139
S003,掠夺文明,小型部落,富饶位面,381,13199.52,43.8347,0.1465,0.443,1.0,141
S003,掠夺文明,小型部落,富饶位面,391,14474.0,52.2621,0.1943,0.4573,1.0,147
S003,掠夺文明,小型部落,富饶位面,401,16826.99,63.1708,0.1092,0.4318,1.0,149
S003,掠夺文明,小型部落,富饶位面,411,18037.71,77.6104,0.1225,0.4375,1.0,156
S003,掠夺文明,小型部落,富饶位面,421,19602.22,97.6742,0.1521,0.4446,1.0,161
S003,掠夺文明,小型部落,富饶位面,431,21023.4,126.4146,0.1478,0.4433,1.0,167
S003,掠夺文明,小型部落,富饶位面,441,22424.71,169.4253,0.2258,0.4667,1.0,173
S003,掠夺文明,小型部落,富饶位面,451,20652.07,238.2591,0.0,0.4001,1.0,176
S003,掠夺文明,小型部落,富饶位面,461,20383.26,362.2037,0.0568,0.4161,1.0,185
S003,掠夺文明,小型部落,富饶位面,471,19899.31,579.1782,0.0,0.4023,1.0,194
S003,掠夺文明,小型部落,富饶位面,481,19123.23,1042.7463,0.0353,0.4097,1.0,199
S003,掠夺文明,小型部落,富饶位面,491,19851.42,2144.0134,0.0569,0.4161,1.0,205
S004,掠夺文明,小型部落,灾厄位面,1,10.37,1.0023,0.5714,0.51,0.0,0
S004,掠夺文明,小型部落,灾厄位面,11,13.75,1.0234,0.1757,0.7599,0.0,1
S004,掠夺文明,小型部落,灾厄位面,21,16.86,1.0445,0.0,0.7,0.0,7
S004,掠夺文明,小型部落,灾厄位面,31,20.64,1.0735,0.0,0.7,0.0,13
S004,掠夺文明,小型部落,灾厄位面,41,24.88,1.1104,0.0,0.7,0.0,19
S004,掠夺文明,小型部落,灾厄位面,51,30.43,1.1552,0.0,0.7,0.0,26
S004,掠夺文明,小型部落,灾厄位面,61,38.02,1.2064,0.0049,0.7011,0.0,31
S004,掠夺文明,小型部落,灾厄位面,71,46.26,1.2651,0.0052,0.7011,0.0,38
S004,掠夺文明,小型部落,灾厄位面,81,57.0,1.3318,0.0,0.7,0.0,44
S004,掠夺文明,小型部落,灾厄位面,91,69.31,1.405,0.0,0.7001,0.0,52
S004,掠夺文明,小型部落,灾厄位面,101,81.26,1.4874,0.0121,0.7029,0.0,61
S004,掠夺文明,小型部落,灾厄位面,111,98.2,1.5787,0.0,0.7006,0.0,68
S004,掠夺文明,小型部落,灾厄位面,121,116.09,1.6782,0.0,0.7,0.0,74
S004,掠夺文明,小型部落,灾厄位面,131,102.56,1.7959,0.0,0.7,0.0,82
S004,掠夺文明,小型部落,灾厄位面,141,91.93,1.9389,0.0,0.7002,0.0,88
S004,掠夺文明,小型部落,灾厄位面,151,84.42,2.1083,0.023,0.7056,0.0,95
S004,掠夺文明,小型部落,灾厄位面,161,83.44,2.2982,0.0115,0.7026,0.0,102
S004,掠夺文明,小型部落,灾厄位面,171,74.77,2.5043,0.0,0.7,0.0,111
S004,掠夺文明,小型部落,灾厄位面,181,68.61,2.7423,0.0,0.7002,0.0,117
S004,掠夺文明,小型部落,灾厄位面,191,61.89,3.0163,0.0115,0.7024,0.0,123
S004,掠夺文明,小型部落,灾厄位面,201,56.76,3.322,0.0,0.7007,0.0,128
S004,掠夺文明,小型部落,灾厄位面,211,51.86,3.6649,0.0,0.7002,0.0,134
S004,掠夺文明,小型部落,灾厄位面,221,56.12,4.0336,0.0,0.7037,0.0,141
S004,掠夺文明,小型部落,灾厄位面,231,46.53,4.4388,0.0,0.7002,0.0,148
S004,掠夺文明,小型部落,灾厄位面,241,43.37,4.909,0.0115,0.7024,0.0,154
S004,掠夺文明,小型部落,灾厄位面,251,50.33,5.4057,0.0196,0.7052,0.0,161
S004,掠夺文明,小型部落,灾厄位面,261,48.09,5.917,0.0,0.7007,0.0,169
S004,掠夺文明,小型部落,灾厄位面,271,44.92,6.5163,0.0,0.7002,0.0,174
S004,掠夺文明,小型部落,灾厄位面,281,38.35,7.2356,0.0,0.7001,0.0,183
S004,掠夺文明,小型部落,灾厄位面,291,37.88,8.0668,0.0,0.7008,0.0,189
S004,掠夺文明,小型部落,灾厄位面,301,35.21,8.9745,0.0,0.7,0.0,194
S004,掠夺文明,小型部落,灾厄位面,311,30.33,10.0744,0.0,0.7,0.0,200
S004,掠夺文明,小型部落,灾厄位面,321,28.65,11.3653,0.0,0.7001,0.0,208
S004,掠夺文明,小型部落,灾厄位面,331,24.45,12.9083,0.0,0.7,0.0,214
S004,掠夺文明,小型部落,灾厄位面,341,21.11,14.829,0.0,0.7002,0.0,219
S004,掠夺文明,小型部落,灾厄位面,351,20.63,17.0688,0.0,0.7017,0.0,227
S004,掠夺文明,小型部落,灾厄位面,361,20.27,19.5561,0.0115,0.7024,0.0,233
S004,掠夺文明,小型部落,灾厄位面,371,17.66,22.6168,0.0,0.7001,0.0,239
S004,掠夺文明,小型部落,灾厄位面,381,16.1,26.4465,0.0,0.7008,0.0,249
S004,掠夺文明,小型部落,灾厄位面,391,15.6,31.1596,0.0099,0.7048,0.0,255
S004,掠夺文明,小型部落,灾厄位面,401,15.95,36.5139,0.0115,0.7026,0.0,264
S004,掠夺文明,小型部落,灾厄位面,411,15.98,43.0733,0.023,0.7056,0.0,267
S004,掠夺文明,小型部落,灾厄位面,421,15.96,51.309,0.0,0.7027,0.0,276
S004,掠夺文明,小型部落,灾厄位面,431,15.28,62.1157,0.0115,0.7024,0.0,280
S004,掠夺文明,小型部落,灾厄位面,441,12.99,77.2736,0.0,0.7,0.0,289
S004,掠夺文明,小型部落,灾厄位面,451,12.09,99.4811,0.0,0.7003,0.0,297
S004,掠夺文明,小型部落,灾厄位面,461,11.03,131.965,0.023,0.7056,0.0,305
S004,掠夺文明,小型部落,灾厄位面,471,11.76,178.0436,0.0,0.7031,0.0,311
S004,掠夺文明,小型部落,灾厄位面,481,12.73,244.7073,0.02,0.7055,0.0,317
S004,掠夺文明,小型部落,灾厄位面,491,10.83,355.6989,0.0,0.7,0.0,324
S005,掠夺文明,城邦文明,贫瘠位面,1,103.78,3.0069,0.631,0.5225,0.0,0
S005,掠夺文明,城邦文明,贫瘠位面,11,141.58,3.086,0.387,0.6559,0.0,0
S005,掠夺文明,城邦文明,贫瘠位面,21,182.46,3.1866,0.2314,0.7507,0.0,5
S005,掠夺文明,城邦文明,贫瘠位面,31,228.66,3.3202,0.1871,0.7557,0.0,10
S005,掠夺文明,城邦文明,贫瘠位面,41,295.86,3.4876,0.2311,0.7682,0.0,14
S005,掠夺文明,城邦文明,贫瘠位面,51,383.7,3.6972,0.2929,0.7875,0.0,18
S005,掠夺文明,城邦文明,贫瘠位面,61,511.38,3.9521,0.397,0.8177,0.0,20
S005,掠夺文明,城邦文明,贫瘠位面,71,698.79,4.2615,0.4638,0.8376,0.0003,21
S005,掠夺文明,城邦文明,贫瘠位面,81,944.32,4.6283,0.4062,0.825,0.0169,21
S005,掠夺文明,城邦文明,贫瘠位面,91,1278.81,5.0509,0.4933,0.8297,0.0658,22
S005,掠夺文明,城邦文明,贫瘠位面,101,1723.08,5.5466,0.5462,0.8181,0.1644,22
S005,掠夺文明,城邦文明,贫瘠位面,111,2349.47,6.1337,0.5838,0.7815,0.3368,22
S005,掠夺文明,城邦文明,贫瘠位面,121,3071.91,6.8417,0.7087,0.7412,0.6126,22
S005,掠夺文明,城邦文明,贫瘠位面,131,3685.12,7.7423,0.7526,0.6462,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,141,4211.69,8.9048,0.8335,0.6493,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,151,4863.6,10.4254,0.943,0.6815,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,161,5596.03,12.4056,0.9151,0.6732,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,171,6428.21,14.992,0.9888,0.6952,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,181,7386.37,18.4317,0.935,0.681,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,191,8374.99,23.0193,0.9694,0.6894,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,201,9481.37,29.3219,1.0,0.7,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,211,10735.89,38.2583,1.0,0.7,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,221,12021.85,51.2562,1.0,0.6993,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,231,13456.66,71.0576,0.9315,0.6806,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,241,14817.26,102.523,0.9488,0.6833,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,251,16357.21,156.2713,0.9465,0.6827,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,261,17791.87,255.6298,0.9508,0.6838,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,271,19676.73,466.1026,1.0,0.7,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,281,8619.33,1070.4078,0.9783,0.6925,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,291,5731.57,5933.1846,0.9688,0.3286,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,301,2909.3,172140.5698,0.788,0.2398,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,311,1732.26,1.9064766146953223e+37,0.4944,0.1511,1.0,22
S005,掠夺文明,城邦文明,贫瘠位面,321,1253.59,nan,0.3462,0.4996,1.0,24
S005,掠夺文明,城邦文明,贫瘠位面,331,1116.9,nan,0.3416,0.5014,1.0,29
S005,掠夺文明,城邦文明,贫瘠位面,341,1033.15,nan,0.2712,0.4865,1.0,32
S005,掠夺文明,城邦文明,贫瘠位面,351,923.68,nan,0.2808,0.4833,1.0,36
S005,掠夺文明,城邦文明,贫瘠位面,361,822.99,nan,0.2848,0.4844,1.0,40
S005,掠夺文明,城邦文明,贫瘠位面,371,761.18,nan,0.3692,0.5097,1.0,42
S005,掠夺文明,城邦文明,贫瘠位面,381,715.08,nan,0.4574,0.5361,1.0,42
S005,掠夺文明,城邦文明,贫瘠位面,391,672.09,nan,0.4686,0.5401,1.0,42
S005,掠夺文明,城邦文明,贫瘠位面,401,657.96,nan,0.4701,0.5401,1.0,42
S005,掠夺文明,城邦文明,贫瘠位面,411,636.84,nan,0.4655,0.5386,1.0,42
S005,掠夺文明,城邦文明,贫瘠位面,421,606.41,nan,0.4491,0.5359,1.0,42
S005,掠夺文明,城邦文明,贫瘠位面,431,581.35,nan,0.3872,0.5151,1.0,43
S005,掠夺文明,城邦文明,贫瘠位面,441,543.01,nan,0.3618,0.5091,1.0,45
S005,掠夺文明,城邦文明,贫瘠位面,451,500.79,nan,0.3579,0.5094,1.0,49
S005,掠夺文明,城邦文明,贫瘠位面,461,471.87,nan,0.3085,0.4916,1.0,49
S005,掠夺文明,城邦文明,贫瘠位面,471,438.41,nan,0.3939,0.5171,1.0,51
S005,掠夺文明,城邦文明,贫瘠位面,481,399.82,nan,0.2247,0.467,1.0,53
S005,掠夺文明,城邦文明,贫瘠位面,491,354.16,nan,0.3063,0.4908,1.0,59
S006,掠夺文明,城邦文明,普通位面,1,103.42,3.0069,0.6704,0.5308,0.0,0
S006,掠夺文明,城邦文明,普通位面,11,144.74,3.0934,0.4268,0.8354,0.0,0
S006,掠夺文明,城邦文明,普通位面,21,184.7,3.1922,0.0,0.7027,0.0,6
S006,掠夺文明,城邦文明,普通位面,31,222.86,3.3034,0.0,0.7003,0.0,13
S006,掠夺文明,城邦文明,普通位面,41,273.91,3.4456,0.0375,0.7103,0.0,19
S006,掠夺文明,城邦文明,普通位面,51,348.38,3.6141,0.0158,0.7039,0.0,22
S006,掠夺文明,城邦文明,普通位面,61,424.03,3.8076,0.0507,0.7141,0.0,30
S006,掠夺文明,城邦文明,普通位面,71,520.84,4.0319,0.0182,0.7044,0.0,37
S006,掠夺文明,城邦文明,普通位面,81,644.21,4.2884,0.0527,0.7146,0.0,43
S006,掠夺文明,城邦文明,普通位面,91,827.22,4.575,0.0097,0.7038,0.0,47
S006,掠夺文明,城邦文明,普通位面,101,1050.66,4.8923,0.0916,0.7261,0.0,51
S006,掠夺文明,城邦文明,普通位面,111,1296.64,5.2453,0.0644,0.7179,0.0,58
S006,掠夺文明,城邦文明,普通位面,121,1608.48,5.6394,0.0115,0.7021,0.0048,64
S006,掠夺文明,城邦文明,普通位面,131,1667.62,6.0876,0.0,0.6897,0.0416,72
S006,掠夺文明,城邦文明,普通位面,141,1660.19,6.6334,0.0,0.6755,0.0941,80
S006,掠夺文明,城邦文明,普通位面,151,1615.81,7.2956,0.0328,0.664,0.1579,90
S006,掠夺文明,城邦文明,普通位面,161,1853.87,8.0391,0.0211,0.6332,0.2579,98
S006,掠夺文明,城邦文明,普通位面,171,1932.15,8.8646,0.0099,0.5876,0.4084,105
S006,掠夺文明,城邦文明,普通位面,181,1932.36,9.8103,0.0181,0.5294,0.6141,112
S006,掠夺文明,城邦文明,普通位面,191,2007.63,10.9034,0.0079,0.4493,0.8845,119
S006,掠夺文明,城邦文明,普通位面,201,1978.42,12.1999,0.0427,0.4119,1.0,129
S006,掠夺文明,城邦文明,普通位面,211,2135.16,13.7164,0.0952,0.4277,1.0,135
S006,掠夺文明,城邦文明,普通位面,221,2293.89,15.4528,0.0706,0.4203,1.0,144
S006,掠夺文明,城邦文明,普通位面,231,2237.43,17.4828,0.0282,0.4076,1.0,153
S006,掠夺文明,城邦文明,普通位面,241,2103.64,19.967,0.007,0.4015,1.0,158
S006,掠夺文明,城邦文明,普通位面,251,2065.63,22.9443,0.0,0.4004,1.0,162
S006,掠夺文明,城邦文明,普通位面,261,1728.99,26.9226,0.007,0.4016,1.0,168
S006,掠夺文明,城邦文明,普通位面,271,1456.02,32.1942,0.0,0.4005,1.0,174
S006,掠夺文明,城邦文明,普通位面,281,1258.29,39.0894,0.007,0.4015,1.0,182
S006,掠夺文明,城邦文明,普通位面,291,1283.19,47.776,0.0071,0.4031,1.0,189
S006,掠夺文明,城邦文明,普通位面,301,1334.94,58.2375,0.0,0.4061,1.0,196
S006,掠夺文明,城邦文明,普通位面,311,1265.33,72.3069,0.0353,0.4097,1.0,203
S006,掠夺文明,城邦文明,普通位面,321,1100.47,91.4605,0.0,0.4003,1.0,208
S006,掠夺文明,城邦文明,普通位面,331,1089.93,118.5983,0.0,0.4015,1.0,214
