scenario_id,civilization_type,population_level,initial_population,environment,resource_abundance,disaster_freq,round,population,resources,tech_level,stability,happiness,conflict_count,env_degradation,military_power,knowledge,per_capita_resource,carrying_capacity,alive
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,16,16.32,352.11,1.0404,0.0744,0.5795,3,0.0,11.62,27.06,21.5796,2474.4,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,17,16.8,394.14,1.0428,0.0626,0.5984,3,0.0,12.28,27.4,23.4652,2475.01,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,18,16.97,435.23,1.0452,0.0524,0.6195,4,0.0,12.95,27.73,25.6533,2475.64,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,19,17.49,488.26,1.0477,0.0442,0.6446,4,0.0,13.61,28.06,27.9207,2476.29,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,20,17.77,496.79,1.0503,0.0,0.664,5,0.0,14.27,28.39,27.9627,2476.95,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,21,18.06,553.37,1.0529,0.0,0.6702,6,0.0,14.92,28.71,30.6447,2477.6,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,22,18.64,566.34,1.0555,0.0,0.6911,6,0.0,15.57,29.02,30.3878,2478.27,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,23,18.86,624.17,1.0582,0.0,0.6973,7,0.0,16.23,29.34,33.0964,2478.96,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,24,19.06,662.79,1.061,0.0,0.6992,8,0.0,16.88,29.66,34.7714,2479.67,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,25,19.47,673.61,1.0639,0.0,0.6998,9,0.0,17.53,29.98,34.5911,2480.41,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,26,19.72,699.19,1.0669,0.0,0.6999,10,0.0,18.19,30.3,35.4488,2481.17,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,27,20.29,729.78,1.07,0.0003,0.7,10,0.0,18.84,30.62,35.9726,2481.95,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,28,20.57,804.7,1.0731,0.001,0.7002,11,0.0,19.51,30.94,39.1168,2482.75,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,29,20.89,854.38,1.0764,0.0038,0.7009,12,0.0,20.17,31.26,40.893,2483.57,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,30,21.57,925.3,1.0797,0.0073,0.7018,12,0.0,20.84,31.59,42.9029,2484.42,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,31,21.99,959.54,1.0831,0.0108,0.7028,13,0.0,21.53,31.92,43.6383,2485.28,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,32,22.65,1053.09,1.0866,0.0144,0.7039,13,0.0,22.23,32.25,46.4985,2486.16,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,33,23.08,1088.46,1.0902,0.0181,0.705,14,0.0,22.95,32.58,47.1594,2487.06,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,34,23.76,1132.41,1.0939,0.0218,0.7061,14,0.0,23.68,32.91,47.6538,2487.99,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,35,24.09,1210.25,1.0976,0.0257,0.7072,15,0.0,24.43,33.25,50.2372,2488.93,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,36,24.31,1236.8,1.1015,0.0296,0.7084,16,0.0,25.19,33.59,50.885,2489.89,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,37,24.74,1275.66,1.1055,0.0,0.7025,17,0.0,25.94,33.93,51.561,2490.89,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,38,25.02,1300.83,1.1095,0.0042,0.7016,18,0.0,26.67,34.26,51.9881,2491.88,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,39,25.82,1384.19,1.1135,0.0,0.7005,18,0.0,27.4,34.6,53.6181,2492.89,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,40,26.45,1444.39,1.1176,0.0042,0.701,19,0.0,28.16,34.93,54.6038,2493.91,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,41,26.9,1529.71,1.1218,0.0085,0.7021,20,0.0,28.93,35.27,56.8685,2494.95,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,42,27.19,1629.11,1.1261,0.0129,0.7033,21,0.0,29.72,35.61,59.9092,2496.01,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,43,27.86,1717.36,1.1305,0.0174,0.7047,22,0.0,30.5,35.95,61.6464,2497.09,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,44,28.23,1746.24,1.135,0.022,0.706,23,0.0,31.31,36.3,61.8582,2498.2,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,45,28.69,1771.25,1.1396,0.0266,0.7074,24,0.0,32.13,36.65,61.7394,2499.33,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,46,29.41,1907.38,1.1443,0.0314,0.7088,24,0.0,32.95,37.0,64.8459,2500.48,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,47,29.72,2013.59,1.1491,0.0363,0.7103,25,0.0,33.8,37.36,67.7626,2501.65,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,48,30.37,2113.99,1.154,0.0413,0.7117,26,0.0,34.65,37.72,69.598,2502.84,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,49,31.05,2174.01,1.159,0.0108,0.7058,27,0.0,35.52,38.08,70.0186,2504.05,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,50,32.05,2301.09,1.1639,0.0157,0.705,27,0.0,36.38,38.43,71.7991,2505.26,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,51,32.91,2351.3,1.1689,0.0206,0.7058,27,0.0,37.28,38.79,71.4535,2506.47,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,52,33.75,2392.74,1.174,0.0255,0.7071,27,0.0,38.22,39.15,70.8862,2507.7,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,53,34.76,2544.84,1.1792,0.0304,0.7085,27,0.0,39.18,39.51,73.2065,2508.95,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,54,35.77,2594.81,1.1844,0.0353,0.71,27,0.0,40.19,39.88,72.5452,2510.21,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,55,36.27,2643.68,1.1897,0.0401,0.7114,28,0.0,41.24,40.25,72.8839,2511.48,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,56,37.03,2680.35,1.1951,0.0451,0.7129,29,0.0,42.3,40.62,72.3812,2512.78,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,57,38.04,2785.56,1.2007,0.0502,0.7144,29,0.0,43.38,40.99,73.2221,2514.1,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,58,39.07,2896.44,1.2063,0.0553,0.7159,29,0.0,44.5,41.37,74.1332,2515.44,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,59,40.33,2993.56,1.212,0.0604,0.7175,29,0.0,45.67,41.76,74.2325,2516.79,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,60,40.9,3108.71,1.2177,0.0271,0.7109,30,0.0,46.88,42.15,76.0131,2518.15,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,61,41.4,3148.84,1.2235,0.0,0.7033,31,0.0,48.06,42.52,76.0554,2519.51,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,62,41.74,3312.54,1.2292,0.0051,0.702,32,0.0,49.19,42.89,79.3659,2520.86,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,63,42.15,3424.76,1.2351,0.0,0.7006,33,0.0,50.33,43.26,81.2521,2522.24,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,64,43.08,3493.94,1.241,0.0053,0.7013,34,0.0,51.44,43.64,81.1068,2523.64,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,65,44.18,3649.55,1.2471,0.0,0.7004,34,0.0,52.6,44.01,82.6055,2525.05,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,66,45.27,3845.05,1.2531,0.0,0.7001,35,0.0,53.78,44.39,84.9418,2526.47,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,67,46.27,4018.44,1.2593,0.0052,0.7011,36,0.0,55.0,44.77,86.8449,2527.9,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,68,46.81,4121.37,1.2655,0.0,0.7003,37,0.0,56.25,45.15,88.0536,2529.34,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,69,47.64,4321.43,1.2718,0.0053,0.7012,38,0.0,57.5,45.53,90.7025,2530.8,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,70,48.99,4504.91,1.2782,0.0,0.7004,38,0.0,58.77,45.91,91.9504,2532.28,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,71,49.97,4596.24,1.2846,0.0053,0.7012,39,0.0,60.08,46.3,91.9716,2533.76,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,72,51.34,4759.44,1.2912,0.0107,0.7026,39,0.0,61.43,46.69,92.7098,2535.26,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,73,52.89,4968.47,1.2978,0.016,0.7041,39,0.0,62.84,47.08,93.939,2536.77,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,74,54.19,5122.71,1.3044,0.0213,0.7057,40,0.0,64.31,47.48,94.5358,2538.29,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,75,55.05,5199.6,1.3112,0.0266,0.7073,41,0.0,65.84,47.88,94.4557,2539.82,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,76,55.77,5341.05,1.3181,0.032,0.7089,42,0.0,67.39,48.29,95.7773,2541.38,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,77,56.69,5580.95,1.3251,0.0375,0.7106,43,0.0,68.96,48.7,98.4463,2542.96,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,78,57.41,5758.59,1.3322,0.0074,0.7047,44,0.0,70.55,49.11,100.2984,2544.57,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,79,58.67,5856.32,1.3393,0.0131,0.7042,45,0.0,72.09,49.52,99.8218,2546.16,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,80,59.47,5977.28,1.3465,0.0,0.7012,46,0.0,73.67,49.93,100.502,2547.78,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,81,60.95,6223.33,1.3537,0.0056,0.7016,47,0.0,75.24,50.33,102.1073,2549.39,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,82,62.12,6495.45,1.361,0.0113,0.7028,48,0.0,76.86,50.74,104.5627,2551.02,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,83,63.75,6790.77,1.3684,0.0169,0.7044,48,0.0,78.54,51.16,106.5281,2552.67,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,84,65.12,7046.58,1.3759,0.0225,0.7061,49,0.0,80.28,51.58,108.2067,2554.33,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,85,67.25,7223.19,1.3835,0.0282,0.7077,49,0.0,82.08,52.0,107.4131,2556.01,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,86,68.08,7331.44,1.3912,0.0338,0.7094,50,0.0,83.98,52.43,107.689,2557.7,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,87,69.25,7614.01,1.399,0.0,0.7028,51,0.0,85.89,52.87,109.9422,2559.41,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,88,70.18,7913.54,1.4068,0.0057,0.702,52,0.0,87.75,53.29,112.7599,2561.1,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,89,71.28,8209.04,1.4146,0.0114,0.703,53,0.0,89.63,53.72,115.1612,2562.82,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,90,72.47,8536.81,1.4226,0.0172,0.7045,54,0.0,91.54,54.15,117.7964,2564.55,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,91,74.29,8847.24,1.4308,0.0231,0.7062,54,0.0,93.5,54.58,119.0836,2566.31,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,92,76.7,9183.32,1.439,0.0,0.7019,54,0.0,95.54,55.03,119.7315,2568.08,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,93,78.43,9458.49,1.4471,0.0057,0.7018,55,0.0,97.61,55.46,120.5914,2569.83,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,94,80.75,9820.97,1.4553,0.0,0.7005,55,0.0,99.75,55.9,121.6246,2571.59,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,95,82.84,10196.02,1.4636,0.0056,0.7013,55,0.0,101.97,56.34,123.081,2573.35,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,96,85.15,10573.92,1.4719,0.0,0.7004,55,0.0,104.29,56.78,124.1736,2575.13,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,97,85.91,10743.33,1.4803,0.0055,0.7013,56,0.0,106.67,57.23,125.049,2576.9,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,98,88.14,11083.47,1.4888,0.0112,0.7027,56,0.0,109.05,57.67,125.7444,2578.7,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,99,89.42,11203.55,1.4974,0.0169,0.7044,57,0.0,111.54,58.13,125.2899,2580.52,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,100,92.1,11374.61,1.5062,0.0,0.7013,57,0.0,114.06,58.59,123.5095,2582.35,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,101,94.34,11699.23,1.5149,0.0,0.7004,58,0.0,116.63,59.04,124.0064,2584.18,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,102,96.84,11828.95,1.5237,0.0,0.7001,58,0.0,119.28,59.5,122.1458,2586.01,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,103,99.72,12190.56,1.5326,0.0056,0.7012,58,0.0,122.02,59.96,122.2528,2587.85,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,104,100.77,12529.04,1.5415,0.0,0.7004,59,0.0,124.89,60.42,124.3355,2589.69,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,105,103.79,12848.96,1.5505,0.0056,0.7013,59,0.0,127.73,60.89,123.7937,2591.56,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,106,106.51,13049.76,1.5596,0.0112,0.7027,59,0.0,130.72,61.36,122.5211,2593.43,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,107,108.79,13457.53,1.5688,0.0168,0.7044,60,0.0,133.83,61.84,123.6972,2595.31,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,108,112.14,13884.81,1.5782,0.0,0.7013,60,0.0,137.03,62.32,123.82,2597.21,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,109,114.74,14099.16,1.5875,0.0055,0.7016,61,0.0,140.3,62.79,122.8801,2599.1,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,110,116.36,14581.29,1.5969,0.0111,0.7028,62,0.0,143.67,63.28,125.3153,2601.01,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,111,118.58,14700.57,1.6064,0.0167,0.7043,63,0.0,147.08,63.76,123.9692,2602.94,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,112,122.38,15084.14,1.6161,0.0224,0.706,63,0.0,150.58,64.26,123.2584,2604.88,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,113,124.98,15493.95,1.6258,0.0281,0.7077,64,0.0,154.26,64.75,123.9727,2606.84,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,114,127.68,15948.36,1.6357,0.0339,0.7094,65,0.0,158.04,65.26,124.9117,2608.81,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,115,130.9,16152.52,1.6457,0.0396,0.7112,65,0.0,161.93,65.77,123.3929,2610.8,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,116,133.38,16198.43,1.6559,0.0455,0.7129,66,0.0,165.97,66.29,121.4487,2612.81,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,117,136.05,16291.71,1.6661,0.0513,0.7147,67,0.0,170.09,66.81,119.7496,2614.83,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,118,138.31,16757.94,1.6766,0.0573,0.7164,68,0.0,174.32,67.34,121.1619,2616.88,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,119,142.9,17006.93,1.6871,0.0,0.7049,68,0.0,178.63,67.87,119.0099,2618.95,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,120,145.08,17177.84,1.6975,0.0058,0.7027,69,0.0,182.82,68.38,118.4043,2620.96,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,121,149.17,17758.58,1.708,0.0117,0.7033,69,0.0,187.09,68.9,119.051,2623.0,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,122,152.17,18157.94,1.7185,0.0175,0.7047,70,0.0,191.55,69.42,119.3249,2625.05,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,123,156.5,18422.78,1.7292,0.0234,0.7063,70,0.0,196.12,69.95,117.7149,2627.11,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,124,160.47,18747.27,1.7401,0.0292,0.708,70,0.0,200.91,70.48,116.8276,2629.19,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,125,162.86,19324.11,1.751,0.0351,0.7098,71,0.0,205.87,71.02,118.6533,2631.28,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,126,166.69,19573.84,1.7621,0.0135,0.7058,72,0.0,210.91,71.57,117.4244,2633.39,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,127,170.87,19842.66,1.7732,0.0194,0.7058,72,0.0,215.94,72.11,116.1299,2635.5,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,128,168.03,19929.33,1.7844,0.0,0.7017,73,0.0,221.16,72.65,113.8612,2637.61,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,129,164.84,20461.14,1.7958,0.0,0.7005,74,0.0,225.92,73.19,119.1616,2639.76,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,130,167.6,20550.56,1.8075,0.0067,0.7016,75,0.0,230.35,73.73,122.6138,2641.96,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,131,171.08,20660.17,1.8194,0.0134,0.7033,76,0.0,234.89,74.28,120.7609,2644.17,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,132,173.86,21266.84,1.8314,0.0202,0.7052,77,0.0,239.61,74.84,122.3226,2646.4,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,133,179.4,21681.84,1.8435,0.027,0.7072,77,0.0,244.44,75.41,120.8587,2648.65,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,134,182.17,22014.49,1.8558,0.0337,0.7093,78,0.0,249.58,75.98,120.8427,2650.9,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,135,186.97,22561.77,1.8682,0.0406,0.7113,78,0.0,254.84,76.56,120.6693,2653.18,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,136,183.32,23362.54,1.8807,0.0,0.7034,79,0.0,260.35,77.14,122.3435,2655.46,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,137,187.9,23704.28,1.8933,0.0071,0.7025,80,0.0,265.15,77.71,126.1525,2657.76,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,138,193.77,24409.24,1.906,0.0142,0.7037,80,0.0,270.2,78.29,125.9681,2660.06,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,139,199.3,25054.16,1.9188,0.0211,0.7055,80,0.0,275.59,78.87,125.7133,2662.36,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,140,204.98,25281.11,1.9317,0.028,0.7075,80,0.0,281.29,79.46,123.3372,2664.68,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,141,208.59,25832.33,1.9446,0.0348,0.7096,81,0.0,287.3,80.06,123.845,2666.99,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,142,205.24,26513.25,1.9578,0.0,0.7029,82,0.0,293.46,80.67,124.0173,2669.33,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,143,209.71,27384.59,1.9711,0.0072,0.7024,83,0.0,298.94,81.26,130.5811,2671.68,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,144,216.17,27761.88,1.9845,0.0144,0.7037,83,0.0,304.65,81.86,128.4238,2674.04,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,145,220.54,28246.41,1.9979,0.0214,0.7056,84,0.0,310.74,82.47,128.0792,2676.41,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,146,225.27,28514.62,2.0115,0.0285,0.7077,85,0.0,317.05,83.09,126.5788,2678.79,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,147,228.24,28913.75,2.0253,0.0356,0.7098,86,0.0,323.61,83.71,126.6836,2681.18,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,148,234.69,29079.86,2.0393,0.0428,0.7119,86,0.0,330.28,84.34,123.9075,2683.6,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,149,238.49,29298.41,2.0533,0.05,0.7141,87,0.0,337.32,84.99,122.8506,2686.02,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,150,240.87,29907.45,2.0676,0.0057,0.7054,88,0.0,344.52,85.64,124.163,2688.47,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,151,246.31,29917.26,2.0818,0.0129,0.7043,89,0.0,351.27,86.27,121.4636,2690.89,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,152,250.09,30736.36,2.0961,0.0201,0.7055,90,0.0,358.31,86.9,122.9009,2693.32,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,153,253.26,30876.88,2.1106,0.0274,0.7074,91,0.0,365.53,87.55,121.9153,2695.77,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,154,261.34,31051.37,2.1253,0.0348,0.7095,91,0.0,372.87,88.2,118.8174,2698.25,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,155,254.29,31092.99,2.1401,0.0,0.7029,92,0.0,380.69,88.87,117.3844,2700.73,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,156,262.12,31802.3,2.1551,0.0077,0.7025,92,0.0,387.43,89.51,121.3278,2703.24,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,157,268.61,32282.67,2.1702,0.0153,0.704,93,0.0,394.65,90.17,120.1859,2705.74,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,158,272.91,32881.15,2.1854,0.0229,0.706,94,0.0,402.25,90.84,120.4852,2708.26,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,159,280.44,33939.51,2.2008,0.0305,0.7082,94,0.0,410.07,91.51,121.022,2710.79,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,160,288.38,34668.89,2.2163,0.038,0.7104,94,0.0,418.34,92.2,120.2212,2713.33,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,161,292.29,35712.7,2.232,0.0455,0.7127,95,0.0,427.07,92.89,122.1809,2715.87,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,162,297.75,35851.97,2.2478,0.0531,0.715,96,0.0,435.98,93.6,120.4095,2718.44,1
S001,掠夺文明,小型部落,10,贫瘠位面,0.35,0.15,163,303.13,36277.15,2.2639,0.0608,0.7173,97,0.0,445.18,94.31,119.6744,2721.03,1
